1,8/8/8/4R1pp/8/5Pk1/1r6/6K1 b - - 6 47,0-1
1,8/8/8/4R1pp/8/5Pk1/8/1r4K1 w - - 7 48,0-1
1,2k5/2r5/1p6/4p3/P7/2K5/2P1r3/8 w - - 1 42,0-1
1,2k5/2r5/1p6/4p3/PK6/8/2r5/8 w - - 0 43,0-1
1,2k5/2r5/1p6/1K2p3/P7/8/2r5/8 b - - 1 43,0-1
1,2k5/2r5/1p6/1Kr1p3/P7/8/8/8 w - - 2 44,0-1
1,2k5/2r5/1K6/2r1p3/P7/8/8/8 b - - 0 44,0-1
1,2k5/2r5/1K6/4p3/P1r5/8/8/8 w - - 1 45,0-1
1,2k5/2r5/1K6/P3p3/2r5/8/8/8 b - - 0 45,0-1
1,2k5/2r5/1K6/P3p3/1r6/8/8/8 w - - 1 46,0-1
1,2k5/2r5/K7/P3p3/1r6/8/8/8 b - - 2 46,0-1
1,2k5/2r5/K7/P3p3/r7/8/8/8 w - - 3 47,0-1
1,2k5/2r5/1K6/P3p3/r7/8/8/8 b - - 4 47,0-1
1,2k5/2r5/1K6/r3p3/8/8/8/8 w - - 0 48,0-1
1,2k5/2r5/8/K3p3/8/8/8/8 b - - 0 48,0-1
1,2k5/8/8/K1r1p3/8/8/8/8 w - - 1 49,0-1
1,2k5/8/1K6/2r1p3/8/8/8/8 b - - 2 49,0-1
1,2k5/8/1K6/3rp3/8/8/8/8 w - - 3 50,0-1
1,8/8/1k6/bp3p2/5R2/7P/6P1/7K w - - 0 42,1/2
1,8/8/1k6/bp6/5Rp1/7P/8/7K w - - 0 43,1/2
1,8/8/1k6/bp6/5RP1/8/8/7K b - - 0 43,1/2
1,8/8/1k6/b7/1p3RP1/8/8/7K w - - 0 44,1/2
1,8/8/1k6/b5P1/1p3R2/8/8/7K b - - 0 44,1/2
1,8/8/1k6/b5P1/5R2/1p6/8/7K w - - 0 45,1/2
1,8/8/1k4P1/b7/5R2/1p6/8/7K b - - 0 45,1/2
1,8/8/1k4P1/b7/5R2/8/1p6/7K w - - 0 46,1/2
1,8/8/1k4P1/b7/8/8/1p6/5R1K b - - 1 46,1/2
1,8/8/1k4P1/8/8/2b5/1p6/5R1K w - - 2 47,1/2
1,8/8/1k4P1/8/8/2b5/1p4K1/5R2 b - - 3 47,1/2
1,8/8/6P1/1k6/8/2b5/1p4K1/5R2 w - - 4 48,1/2
1,8/8/6P1/1k6/8/2b2K2/1p6/5R2 b - - 5 48,1/2
1,8/8/6P1/8/2k5/2b2K2/1p6/5R2 w - - 6 49,1/2
1,8/8/6P1/8/2k5/2b5/1p2K3/5R2 b - - 7 49,1/2
1,8/8/6P1/8/8/1kb5/1p2K3/5R2 w - - 8 50,1/2
